@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][7] because it is equivalent to instance STREAMER0.instruction_out[7][2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][16] because it is equivalent to instance STREAMER0.instruction_out[12][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][13] because it is equivalent to instance STREAMER0.instruction_out[11][10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][15] because it is equivalent to instance STREAMER0.instruction_out[7][10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[12][15] because it is equivalent to instance STREAMER0.instruction_out[12][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[12][9] because it is equivalent to instance STREAMER0.instruction_out[10][10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][15] because it is equivalent to instance STREAMER0.instruction_out[9][4]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[16][11] because it is equivalent to instance STREAMER0.instruction_out[15][15]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][15] because it is equivalent to instance STREAMER0.instruction_out[15][10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][13] because it is equivalent to instance STREAMER0.instruction_out[15][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][15] because it is equivalent to instance STREAMER0.instruction_out[13][10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[12][4] because it is equivalent to instance STREAMER0.instruction_out[9][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][9] because it is equivalent to instance STREAMER0.instruction_out[14][1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][1] because it is equivalent to instance STREAMER0.instruction_out[12][8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][9] because it is equivalent to instance STREAMER0.instruction_out[8][1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][4] because it is equivalent to instance STREAMER0.instruction_out[7][4]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][4] because it is equivalent to instance STREAMER0.instruction_out[6][8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][10] because it is equivalent to instance STREAMER0.instruction_out[15][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][14] because it is equivalent to instance STREAMER0.instruction_out[17][11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][11] because it is equivalent to instance STREAMER0.instruction_out[17][6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][10] because it is equivalent to instance STREAMER0.instruction_out[17][3]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[9][16] because it is equivalent to instance STREAMER0.instruction_out[9][11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[6][15] because it is equivalent to instance STREAMER0.instruction_out[6][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][14] because it is equivalent to instance STREAMER0.instruction_out[8][11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][11] because it is equivalent to instance STREAMER0.instruction_out[7][12]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][8] because it is equivalent to instance STREAMER0.instruction_out[7][8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][12] because it is equivalent to instance STREAMER0.instruction_out[7][7]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][8] because it is equivalent to instance STREAMER0.instruction_out[7][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][7] because it is equivalent to instance STREAMER0.instruction_out[7][3]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][5] because it is equivalent to instance STREAMER0.instruction_out[7][1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][14] because it is equivalent to instance STREAMER0.instruction_out[14][8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][11] because it is equivalent to instance STREAMER0.instruction_out[13][12]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][8] because it is equivalent to instance STREAMER0.instruction_out[13][7]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][12] because it is equivalent to instance STREAMER0.instruction_out[13][8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][8] because it is equivalent to instance STREAMER0.instruction_out[13][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[7][9] because it is equivalent to instance STREAMER0.instruction_out[6][3]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[12][16] because it is equivalent to instance STREAMER0.instruction_out[12][11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][15] because it is equivalent to instance STREAMER0.instruction_out[14][6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][12] because it is equivalent to instance STREAMER0.instruction_out[14][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][6] because it is equivalent to instance STREAMER0.instruction_out[14][3]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][5] because it is equivalent to instance STREAMER0.instruction_out[14][2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][3] because it is equivalent to instance STREAMER0.instruction_out[13][14]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][2] because it is equivalent to instance STREAMER0.instruction_out[13][6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][14] because it is equivalent to instance STREAMER0.instruction_out[12][14]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[13][6] because it is equivalent to instance STREAMER0.instruction_out[12][2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][15] because it is equivalent to instance STREAMER0.instruction_out[17][13]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][13] because it is equivalent to instance STREAMER0.instruction_out[17][7]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][9] because it is equivalent to instance STREAMER0.instruction_out[17][1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][31] because it is equivalent to instance STREAMER0.instruction_out[11][30]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][30] because it is equivalent to instance STREAMER0.instruction_out[11][28]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][29] because it is equivalent to instance STREAMER0.instruction_out[11][27]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][28] because it is equivalent to instance STREAMER0.instruction_out[11][26]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][27] because it is equivalent to instance STREAMER0.instruction_out[11][25]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][26] because it is equivalent to instance STREAMER0.instruction_out[11][24]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][25] because it is equivalent to instance STREAMER0.instruction_out[11][23]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][24] because it is equivalent to instance STREAMER0.instruction_out[11][22]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][23] because it is equivalent to instance STREAMER0.instruction_out[11][21]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][22] because it is equivalent to instance STREAMER0.instruction_out[11][20]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][21] because it is equivalent to instance STREAMER0.instruction_out[11][19]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[11][20] because it is equivalent to instance STREAMER0.instruction_out[11][18]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][31] because it is equivalent to instance STREAMER0.instruction_out[14][30]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][30] because it is equivalent to instance STREAMER0.instruction_out[14][28]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][29] because it is equivalent to instance STREAMER0.instruction_out[14][27]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][28] because it is equivalent to instance STREAMER0.instruction_out[14][26]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][27] because it is equivalent to instance STREAMER0.instruction_out[14][25]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][26] because it is equivalent to instance STREAMER0.instruction_out[14][24]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][25] because it is equivalent to instance STREAMER0.instruction_out[14][23]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][24] because it is equivalent to instance STREAMER0.instruction_out[14][22]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][23] because it is equivalent to instance STREAMER0.instruction_out[14][21]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][22] because it is equivalent to instance STREAMER0.instruction_out[14][20]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][21] because it is equivalent to instance STREAMER0.instruction_out[14][19]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[14][20] because it is equivalent to instance STREAMER0.instruction_out[14][18]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[17][12] because it is equivalent to instance STREAMER0.instruction_out[8][17]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[16][15] because it is equivalent to instance STREAMER0.instruction_out[16][9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[16][13] because it is equivalent to instance STREAMER0.instruction_out[15][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[16][9] because it is equivalent to instance STREAMER0.instruction_out[15][6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][6] because it is equivalent to instance STREAMER0.instruction_out[15][4]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][5] because it is equivalent to instance STREAMER0.instruction_out[15][2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][4] because it is equivalent to instance STREAMER0.instruction_out[6][6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[15][2] because it is equivalent to instance STREAMER0.instruction_out[7][16]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[6][6] because it is equivalent to instance STREAMER0.instruction_out[6][5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][31] because it is equivalent to instance STREAMER0.instruction_out[8][30]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][30] because it is equivalent to instance STREAMER0.instruction_out[8][28]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][29] because it is equivalent to instance STREAMER0.instruction_out[8][27]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][28] because it is equivalent to instance STREAMER0.instruction_out[8][26]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][27] because it is equivalent to instance STREAMER0.instruction_out[8][25]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][26] because it is equivalent to instance STREAMER0.instruction_out[8][24]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][25] because it is equivalent to instance STREAMER0.instruction_out[8][23]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][24] because it is equivalent to instance STREAMER0.instruction_out[8][22]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][23] because it is equivalent to instance STREAMER0.instruction_out[8][21]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][22] because it is equivalent to instance STREAMER0.instruction_out[8][20]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][21] because it is equivalent to instance STREAMER0.instruction_out[8][19]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[8][20] because it is equivalent to instance STREAMER0.instruction_out[8][18]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][31] because it is equivalent to instance STREAMER0.instruction_out[10][30]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][30] because it is equivalent to instance STREAMER0.instruction_out[10][28]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][29] because it is equivalent to instance STREAMER0.instruction_out[10][27]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][28] because it is equivalent to instance STREAMER0.instruction_out[10][26]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][27] because it is equivalent to instance STREAMER0.instruction_out[10][25]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][26] because it is equivalent to instance STREAMER0.instruction_out[10][24]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][25] because it is equivalent to instance STREAMER0.instruction_out[10][23]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][24] because it is equivalent to instance STREAMER0.instruction_out[10][22]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][23] because it is equivalent to instance STREAMER0.instruction_out[10][21]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][22] because it is equivalent to instance STREAMER0.instruction_out[10][20]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/jco1147/ray_tracer/github/RayTracer/sv/streamer/streamer.sv":27:0:27:5|Removing sequential instance STREAMER0.instruction_out[10][21] because it is equivalent to instance STREAMER0.instruction_out[10][19]. To keep the instance, apply constraint syn_preserve=1 on the instance.
